"COMUNA","FECHA","PERIODO","MES","DIA","DIA_NOMBRE","total","DIA_NUM"
"Aranjuez","2014-03-11T00:00:00.000Z",2014,3,11,"MARTES   ",10,2
"Aranjuez","2014-03-12T00:00:00.000Z",2014,3,12,"MIÉRCOLES",6,3
"Aranjuez","2014-03-13T00:00:00.000Z",2014,3,13,"JUEVES   ",5,4
"Aranjuez","2014-03-14T00:00:00.000Z",2014,3,14,"VIERNES  ",12,5
"Aranjuez","2014-03-15T00:00:00.000Z",2014,3,15,"SÁBADO   ",8,6
"Aranjuez","2014-03-16T00:00:00.000Z",2014,3,16,"DOMINGO  ",5,7
"Aranjuez","2014-03-17T00:00:00.000Z",2014,3,17,"LUNES    ",8,1
"Aranjuez","2014-03-18T00:00:00.000Z",2014,3,18,"MARTES   ",5,2
"Aranjuez","2014-03-19T00:00:00.000Z",2014,3,19,"MIÉRCOLES",4,3
"Aranjuez","2014-03-20T00:00:00.000Z",2014,3,20,"JUEVES   ",10,4
"Aranjuez","2014-03-21T00:00:00.000Z",2014,3,21,"VIERNES  ",9,5
"Aranjuez","2014-03-22T00:00:00.000Z",2014,3,22,"SÁBADO   ",5,6
"Aranjuez","2014-03-23T00:00:00.000Z",2014,3,23,"DOMINGO  ",9,7
"Aranjuez","2014-03-24T00:00:00.000Z",2014,3,24,"LUNES    ",14,1
"Aranjuez","2014-03-25T00:00:00.000Z",2014,3,25,"MARTES   ",11,2
"Aranjuez","2014-03-26T00:00:00.000Z",2014,3,26,"MIÉRCOLES",12,3
"Aranjuez","2014-03-27T00:00:00.000Z",2014,3,27,"JUEVES   ",5,4
"Aranjuez","2014-03-28T00:00:00.000Z",2014,3,28,"VIERNES  ",7,5
"Aranjuez","2014-03-29T00:00:00.000Z",2014,3,29,"SÁBADO   ",6,6
"Aranjuez","2014-03-30T00:00:00.000Z",2014,3,30,"DOMINGO  ",3,7
"Aranjuez","2014-03-31T00:00:00.000Z",2014,3,31,"LUNES    ",8,1
"Aranjuez","2014-04-01T00:00:00.000Z",2014,4,1,"MARTES   ",6,2
"Aranjuez","2014-04-02T00:00:00.000Z",2014,4,2,"MIÉRCOLES",7,3
"Aranjuez","2014-04-03T00:00:00.000Z",2014,4,3,"JUEVES   ",11,4
"Aranjuez","2014-04-04T00:00:00.000Z",2014,4,4,"VIERNES  ",10,5
"Aranjuez","2014-04-05T00:00:00.000Z",2014,4,5,"SÁBADO   ",11,6
"Aranjuez","2014-04-06T00:00:00.000Z",2014,4,6,"DOMINGO  ",9,7
"Aranjuez","2014-04-07T00:00:00.000Z",2014,4,7,"LUNES    ",8,1
"Aranjuez","2014-04-08T00:00:00.000Z",2014,4,8,"MARTES   ",6,2
"Aranjuez","2014-04-09T00:00:00.000Z",2014,4,9,"MIÉRCOLES",12,3
"Aranjuez","2014-04-10T00:00:00.000Z",2014,4,10,"JUEVES   ",6,4
"Aranjuez","2014-04-11T00:00:00.000Z",2014,4,11,"VIERNES  ",6,5
"Aranjuez","2014-04-12T00:00:00.000Z",2014,4,12,"SÁBADO   ",10,6
"Aranjuez","2014-04-13T00:00:00.000Z",2014,4,13,"DOMINGO  ",7,7
"Aranjuez","2014-04-14T00:00:00.000Z",2014,4,14,"LUNES    ",10,1
"Aranjuez","2014-04-15T00:00:00.000Z",2014,4,15,"MARTES   ",7,2
"Aranjuez","2014-04-16T00:00:00.000Z",2014,4,16,"MIÉRCOLES",8,3
"Aranjuez","2014-04-17T00:00:00.000Z",2014,4,17,"JUEVES   ",4,4
"Aranjuez","2014-04-18T00:00:00.000Z",2014,4,18,"VIERNES  ",4,5
"Aranjuez","2014-04-19T00:00:00.000Z",2014,4,19,"SÁBADO   ",5,6
"Aranjuez","2014-04-20T00:00:00.000Z",2014,4,20,"DOMINGO  ",3,7
"Aranjuez","2014-04-21T00:00:00.000Z",2014,4,21,"LUNES    ",12,1
"Aranjuez","2014-04-22T00:00:00.000Z",2014,4,22,"MARTES   ",5,2
"Aranjuez","2014-04-23T00:00:00.000Z",2014,4,23,"MIÉRCOLES",8,3
"Aranjuez","2014-04-24T00:00:00.000Z",2014,4,24,"JUEVES   ",3,4
"Aranjuez","2014-04-25T00:00:00.000Z",2014,4,25,"VIERNES  ",10,5
"Aranjuez","2014-04-26T00:00:00.000Z",2014,4,26,"SÁBADO   ",6,6
"Aranjuez","2014-04-27T00:00:00.000Z",2014,4,27,"DOMINGO  ",12,7
"Aranjuez","2014-04-28T00:00:00.000Z",2014,4,28,"LUNES    ",11,1
"Aranjuez","2014-04-29T00:00:00.000Z",2014,4,29,"MARTES   ",6,2
"Aranjuez","2014-05-01T00:00:00.000Z",2014,5,1,"JUEVES   ",7,4
"Aranjuez","2014-05-02T00:00:00.000Z",2014,5,2,"VIERNES  ",12,5
"Aranjuez","2014-05-03T00:00:00.000Z",2014,5,3,"SÁBADO   ",10,6
"Aranjuez","2014-05-04T00:00:00.000Z",2014,5,4,"DOMINGO  ",6,7
"Aranjuez","2014-05-05T00:00:00.000Z",2014,5,5,"LUNES    ",6,1
"Aranjuez","2014-05-06T00:00:00.000Z",2014,5,6,"MARTES   ",9,2
"Aranjuez","2014-05-07T00:00:00.000Z",2014,5,7,"MIÉRCOLES",4,3
"Aranjuez","2014-05-08T00:00:00.000Z",2014,5,8,"JUEVES   ",6,4
"Aranjuez","2014-05-09T00:00:00.000Z",2014,5,9,"VIERNES  ",7,5
"Aranjuez","2014-05-10T00:00:00.000Z",2014,5,10,"SÁBADO   ",7,6
"Aranjuez","2014-05-11T00:00:00.000Z",2014,5,11,"DOMINGO  ",6,7
"Aranjuez","2014-05-12T00:00:00.000Z",2014,5,12,"LUNES    ",4,1
"Aranjuez","2014-05-13T00:00:00.000Z",2014,5,13,"MARTES   ",8,2
"Aranjuez","2014-05-14T00:00:00.000Z",2014,5,14,"MIÉRCOLES",7,3
"Aranjuez","2014-05-15T00:00:00.000Z",2014,5,15,"JUEVES   ",9,4
"Aranjuez","2014-05-16T00:00:00.000Z",2014,5,16,"VIERNES  ",8,5
"Aranjuez","2014-05-17T00:00:00.000Z",2014,5,17,"SÁBADO   ",7,6
"Aranjuez","2014-05-18T00:00:00.000Z",2014,5,18,"DOMINGO  ",7,7
"Aranjuez","2014-05-19T00:00:00.000Z",2014,5,19,"LUNES    ",10,1
"Aranjuez","2014-05-20T00:00:00.000Z",2014,5,20,"MARTES   ",5,2
"Aranjuez","2014-05-21T00:00:00.000Z",2014,5,21,"MIÉRCOLES",11,3
"Aranjuez","2014-05-22T00:00:00.000Z",2014,5,22,"JUEVES   ",12,4
"Aranjuez","2014-05-23T00:00:00.000Z",2014,5,23,"VIERNES  ",6,5
"Aranjuez","2014-05-24T00:00:00.000Z",2014,5,24,"SÁBADO   ",11,6
"Aranjuez","2014-05-25T00:00:00.000Z",2014,5,25,"DOMINGO  ",5,7
"Aranjuez","2014-05-26T00:00:00.000Z",2014,5,26,"LUNES    ",9,1
"Aranjuez","2014-05-27T00:00:00.000Z",2014,5,27,"MARTES   ",7,2
"Aranjuez","2014-05-28T00:00:00.000Z",2014,5,28,"MIÉRCOLES",7,3
"Aranjuez","2014-05-29T00:00:00.000Z",2014,5,29,"JUEVES   ",6,4
"Aranjuez","2014-05-30T00:00:00.000Z",2014,5,30,"VIERNES  ",5,5
"Aranjuez","2014-05-31T00:00:00.000Z",2014,5,31,"SÁBADO   ",7,6
"Aranjuez","2014-06-01T00:00:00.000Z",2014,6,1,"DOMINGO  ",6,7
"Aranjuez","2014-06-02T00:00:00.000Z",2014,6,2,"LUNES    ",6,1
"Aranjuez","2014-06-03T00:00:00.000Z",2014,6,3,"MARTES   ",10,2
"Aranjuez","2014-06-04T00:00:00.000Z",2014,6,4,"MIÉRCOLES",6,3
"Aranjuez","2014-06-05T00:00:00.000Z",2014,6,5,"JUEVES   ",5,4
"Aranjuez","2014-06-06T00:00:00.000Z",2014,6,6,"VIERNES  ",6,5
"Aranjuez","2014-06-07T00:00:00.000Z",2014,6,7,"SÁBADO   ",6,6
"Aranjuez","2014-06-08T00:00:00.000Z",2014,6,8,"DOMINGO  ",4,7
"Aranjuez","2014-06-09T00:00:00.000Z",2014,6,9,"LUNES    ",7,1
"Aranjuez","2014-06-10T00:00:00.000Z",2014,6,10,"MARTES   ",8,2
"Aranjuez","2014-06-11T00:00:00.000Z",2014,6,11,"MIÉRCOLES",9,3
"Aranjuez","2014-06-12T00:00:00.000Z",2014,6,12,"JUEVES   ",5,4
"Aranjuez","2014-06-13T00:00:00.000Z",2014,6,13,"VIERNES  ",10,5
"Aranjuez","2014-06-14T00:00:00.000Z",2014,6,14,"SÁBADO   ",7,6
