"","COMUNA","FECHA","PERIODO","MES","DIA","DIA_NOMBRE","total","DIA_NUM","pasted","especial"
"55","Aranjuez","2014-02-24T00:00:00.000Z",2014,2,24,"LUNES    ",8,1,"24/2/2014",0
"56","Aranjuez","2014-02-25T00:00:00.000Z",2014,2,25,"MARTES   ",8,2,"25/2/2014",0
"57","Aranjuez","2014-02-26T00:00:00.000Z",2014,2,26,"MIÉRCOLES",3,3,"26/2/2014",0
"58","Aranjuez","2014-02-27T00:00:00.000Z",2014,2,27,"JUEVES   ",8,4,"27/2/2014",0
"59","Aranjuez","2014-02-28T00:00:00.000Z",2014,2,28,"VIERNES  ",6,5,"28/2/2014",0
"60","Aranjuez","2014-03-01T00:00:00.000Z",2014,3,1,"SÁBADO   ",10,6,"1/3/2014",0
"61","Aranjuez","2014-03-02T00:00:00.000Z",2014,3,2,"DOMINGO  ",10,7,"2/3/2014",0
"62","Aranjuez","2014-03-03T00:00:00.000Z",2014,3,3,"LUNES    ",9,1,"3/3/2014",0
"63","Aranjuez","2014-03-04T00:00:00.000Z",2014,3,4,"MARTES   ",4,2,"4/3/2014",0
"64","Aranjuez","2014-03-05T00:00:00.000Z",2014,3,5,"MIÉRCOLES",14,3,"5/3/2014",0
"65","Aranjuez","2014-03-06T00:00:00.000Z",2014,3,6,"JUEVES   ",5,4,"6/3/2014",0
"66","Aranjuez","2014-03-07T00:00:00.000Z",2014,3,7,"VIERNES  ",13,5,"7/3/2014",0
"67","Aranjuez","2014-03-08T00:00:00.000Z",2014,3,8,"SÁBADO   ",5,6,"8/3/2014",0
"68","Aranjuez","2014-03-09T00:00:00.000Z",2014,3,9,"DOMINGO  ",5,7,"9/3/2014",0
"69","Aranjuez","2014-03-10T00:00:00.000Z",2014,3,10,"LUNES    ",8,1,"10/3/2014",0
"70","Aranjuez","2014-03-11T00:00:00.000Z",2014,3,11,"MARTES   ",10,2,"11/3/2014",0
"71","Aranjuez","2014-03-12T00:00:00.000Z",2014,3,12,"MIÉRCOLES",6,3,"12/3/2014",0
"72","Aranjuez","2014-03-13T00:00:00.000Z",2014,3,13,"JUEVES   ",5,4,"13/3/2014",0
"73","Aranjuez","2014-03-14T00:00:00.000Z",2014,3,14,"VIERNES  ",12,5,"14/3/2014",0
